"event.id","location.long","location.lat","deployment.id","tag.id","tag.local.identifier","argos.altitude","argos.best.level","argos.calcul.freq","argos.iq","argos.lat1","argos.lat2","argos.lc","argos.lon1","argos.lon2","argos.nb.mes","argos.nb.mes.120","argos.nopc","argos.pass.duration","argos.sensor.1","argos.sensor.2","argos.sensor.3","argos.sensor.4","optional","sensor","timestamps","trackId","individual.local.identifier","visible","individual.id","study.id","sensor.type.id","individual.taxon.canonical.name","algorithm.marked.outlier","manually.marked.outlier","study.name","comments","death.comments","earliest.date.born","exact.date.of.birth","latest.date.born","nick.name","ring.id","sex","taxon.canonical.name","timestamp.start","timestamp.end","number.of.events","number.of.deployments","sensor.type.ids","taxon.detail","animalName"
16578813,12.08,52.126,1930120,1898884,14552,0,-125,401.6515613,60,52.126,48.455,"1",12.08,30.367,4,0,2,250,146,169,85,170,TRUE,"Argos Doppler Shift",1994-08-12 04:14:24,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16578887,36.413,15.29,1930120,1898884,14552,0,-128,401.651724,50,15.29,20.078,"1",36.413,57.281,6,0,3,557,248,136,78,175,TRUE,"Argos Doppler Shift",1994-10-01 13:43:42,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16578924,34.241,13.999,1930120,1898884,14552,0,-124,401.6517649,50,13.999,10.225,"2",34.241,50.316,8,0,3,571,163,117,37,52,TRUE,"Argos Doppler Shift",1994-10-26 02:27:06,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16578929,34.319,13.95,1930120,1898884,14552,0,-128,401.6518899,55,13.95,18.006,"1",34.319,15.977,4,0,3,499,231,138,63,113,TRUE,"Argos Doppler Shift",1994-10-28 05:47:27,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16578937,34.667,13.95,1930120,1898884,14552,0,-126,401.651844,50,13.95,15.015,"1",34.667,29.864,7,0,2,377,206,137,51,137,TRUE,"Argos Doppler Shift",1994-11-03 05:17:42,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16578948,35.18,14.298,1930120,1898884,14552,0,-128,401.6517807,60,14.298,11.104,"1",35.18,48.747,4,0,2,189,182,98,49,131,TRUE,"Argos Doppler Shift",1994-11-11 02:29:12,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16578961,35.418,12.91,1930120,1898884,14552,0,-129,401.6518314,50,12.91,15.051,"1",35.418,44.685,7,0,2,378,212,129,57,216,TRUE,"Argos Doppler Shift",1994-11-24 14:21:52,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16578971,35.138,4.15,1930120,1898884,14552,0,-130,401.6517056,60,4.15,-4.66,"1",35.138,-3.745,4,0,1,189,182,126,46,142,TRUE,"Argos Doppler Shift",1994-12-14 18:12:47,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16561193,35.264,-3.325,1930120,1898884,14552,0,-125,401.6519453,50,-3.325,-1.042,"2",35.264,45.344,7,0,1,499,167,135,85,22,TRUE,"Argos Doppler Shift",1995-01-29 16:37:35,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16561221,34.7,-2.369,1930120,1898884,14552,0,-123,401.6519625,58,-2.369,-1.075,"1",34.7,40.429,11,0,1,685,166,134,84,170,TRUE,"Argos Doppler Shift",1995-02-16 16:45:05,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16561239,35.052,-2.17,1930120,1898884,14552,0,-123,401.6519245,58,-2.17,-5.423,"1",35.052,20.649,6,0,3,686,138,132,87,62,TRUE,"Argos Doppler Shift",1995-02-28 17:24:54,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16561242,35.084,-2.19,1930120,1898884,14552,0,-131,401.6519524,58,-2.19,-11.616,"1",35.084,-6.665,6,0,4,375,148,132,89,54,TRUE,"Argos Doppler Shift",1995-03-02 18:20:53,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16561250,35.101,-2.179,1930120,1898884,14552,0,-130,401.6519874,57,-2.179,2.53,"1",35.101,55.848,10,0,3,696,35,120,93,240,TRUE,"Argos Doppler Shift",1995-03-08 16:12:21,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16561255,35.105,-2.159,1930120,1898884,14552,0,-125,401.6519388,50,-2.159,1.078,"1",35.105,49.376,7,0,3,439,144,130,88,251,TRUE,"Argos Doppler Shift",1995-03-12 16:22:35,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16561260,35.123,-2.145,1930120,1898884,14552,0,-126,401.6519211,50,-2.145,-0.384,"1",35.123,42.9,12,0,2,818,152,127,89,146,TRUE,"Argos Doppler Shift",1995-03-16 16:37:55,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16561277,33.698,12.133,1930120,1898884,14552,0,-129,401.6519692,58,12.133,10.357,"1",33.698,41.402,5,0,2,252,184,95,47,241,TRUE,"Argos Doppler Shift",1995-03-27 23:16:06,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16561284,33.722,12.025,1930120,1898884,14552,0,-123,401.6520021,58,12.025,16.534,"1",33.722,13.767,8,0,2,442,175,116,48,221,TRUE,"Argos Doppler Shift",1995-04-01 00:17:16,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16561286,33.81,12.045,1930120,1898884,14552,0,-127,401.6520367,58,12.045,14.26,"1",33.81,24.112,11,0,3,752,186,117,52,80,TRUE,"Argos Doppler Shift",1995-04-02 23:55:05,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16561288,33.849,12.01,1930120,1898884,14552,0,-128,401.6520882,56,12.01,16.39,"1",33.849,14.228,9,0,3,623,222,132,63,185,TRUE,"Argos Doppler Shift",1995-04-03 05:45:03,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16561321,35.788,37.265,1930120,1898884,14552,0,-123,401.6520719,50,37.265,40.8,"1",35.788,53.278,5,0,2,372,233,127,39,131,TRUE,"Argos Doppler Shift",1995-04-27 10:13:09,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16561343,27.714,45.427,1930120,1898884,14552,0,-130,401.6519891,50,45.427,54.365,"1",27.714,73.843,4,0,2,372,184,136,17,156,TRUE,"Argos Doppler Shift",1995-05-10 09:38:24,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16561363,22.761,50.309,1930120,1898884,14552,0,-124,401.6517399,57,50.309,51.662,"1",22.761,30.007,4,0,2,366,144,137,13,224,TRUE,"Argos Doppler Shift",1995-05-20 11:09:00,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16561374,12.072,52.108,1930120,1898884,14552,0,-126,401.6516786,58,52.108,44.449,"1",12.072,50.683,5,0,4,307,132,129,5,236,TRUE,"Argos Doppler Shift",1995-05-26 00:13:08,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16561378,12.123,52.254,1930120,1898884,14552,0,-122,401.6516537,50,52.254,51.687,"1",12.123,15.024,4,0,1,491,122,137,0,63,TRUE,"Argos Doppler Shift",1995-05-28 01:32:52,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16573774,12.094,52.116,1930121,1898885,14543,78,-122,401.6524144,58,52.116,52.928,"1",12.094,7.959,5,0,3,435,115,206,243,2,TRUE,"Argos Doppler Shift",1997-08-23 02:28:39,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16573800,12.094,52.141,1930121,1898885,14543,78,-127,401.6527567,50,52.141,41.815,"1",12.094,63.826,6,0,1,360,143,210,171,0,TRUE,"Argos Doppler Shift",1997-08-25 00:23:58,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16573801,12.139,52.11,1930121,1898885,14543,78,-123,401.6526881,56,52.11,50.974,"1",12.139,17.992,6,0,3,429,138,209,1,16,TRUE,"Argos Doppler Shift",1997-08-25 02:06:07,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16573802,12.161,52.121,1930121,1898885,14543,78,-122,401.6526536,67,52.121,60.071,"3",12.161,-29.179,4,0,4,427,133,208,83,42,TRUE,"Argos Doppler Shift",1997-08-25 03:46:05,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16573805,12.844,51.654,1930121,1898885,14543,78,-126,401.6530881,50,51.654,58.162,"1",12.844,49.48,4,0,1,444,23,4,3,1,TRUE,"Argos Doppler Shift",1997-08-25 15:29:51,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16573810,12.895,51.633,1930121,1898885,14543,78,-127,401.6526908,56,51.633,40.54,"1",12.895,67.796,5,0,3,431,24,12,3,0,TRUE,"Argos Doppler Shift",1997-08-26 00:12:45,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
16573811,12.899,51.65,1930121,1898885,14543,78,-125,401.6526816,68,51.65,49.741,"2",12.899,22.183,5,0,4,573,139,208,23,254,TRUE,"Argos Doppler Shift",1997-08-26 01:55:36,"Prinzesschen","Prinzesschen","true",1898896,1898591,82798,"Ciconia ciconia","","","MPIAB White Stork Prinzesschen","Tracked for a life time with 5 tags","23-12-2006 by age on wintering grounds",NA,NA,"1993-01-01 00:00:00.000",NA,"DEH KA0749","f","Ciconia ciconia","1994-08-12 04:14:24.000","2006-12-22 22:07:04.000",3169,1,"argos-doppler-shift",NA,"Prinzesschen_1930120"
